unix_time_s,elapsed_s,t1,rh1,ah1,t2,rh2,ah2,diff
1772139661.918506,613.3613455295563,23.15,67.05,13.87,22.98,68.64,14.06,-0.19000000000000128
1772139662.4628403,613.9056799411774,23.15,67.05,13.88,22.98,68.66,14.07,-0.1899999999999995
1772139663.007345,614.4501845836639,23.16,67.1,13.89,22.96,68.64,14.05,-0.16000000000000014
1772139663.5492878,614.9921274185181,23.13,67.12,13.87,22.98,68.66,14.07,-0.20000000000000107
1772139664.0933738,615.5362133979797,23.14,67.14,13.88,22.98,68.69,14.08,-0.1999999999999993
1772139664.6378677,616.0807073116302,23.14,67.17,13.89,22.98,68.71,14.08,-0.1899999999999995
1772139665.1793404,616.6221799850464,23.15,67.18,13.9,22.97,68.71,14.07,-0.16999999999999993
1772139665.7230344,617.165874004364,23.15,67.21,13.9,22.96,68.72,14.07,-0.16999999999999993
1772139666.2679136,617.7107532024384,23.17,67.23,13.93,22.99,68.71,14.09,-0.16000000000000014
1772139666.8089995,618.2518391609192,23.17,67.24,13.93,22.98,68.73,14.08,-0.15000000000000036
1772139667.3534775,618.7963171005249,23.14,67.28,13.91,22.97,68.74,14.08,-0.16999999999999993
1772139667.8974094,619.3402490615845,23.13,67.27,13.9,22.97,68.76,14.08,-0.17999999999999972
1772139668.438971,619.8818106651306,23.16,67.3,13.93,22.97,68.75,14.08,-0.15000000000000036
1772139668.9835563,620.4263958930969,23.15,67.35,13.94,22.96,68.77,14.08,-0.14000000000000057
1772139669.52778,620.9706196784973,23.15,67.37,13.94,22.96,68.79,14.08,-0.14000000000000057
1772139670.070177,621.5130167007446,23.16,67.42,13.96,22.98,68.8,14.1,-0.1399999999999988
1772139670.613798,622.0566375255585,23.15,67.46,13.96,22.97,68.82,14.09,-0.129999999999999
1772139671.1578681,622.6007077693939,23.16,67.5,13.97,22.98,68.83,14.11,-0.1399999999999988
1772139671.7004123,623.1432518959045,23.14,67.54,13.96,22.99,68.86,14.12,-0.15999999999999837
1772139672.2448182,623.6876578330994,23.13,67.58,13.97,22.98,68.9,14.12,-0.14999999999999858
1772139672.7887945,624.2316341400146,23.13,67.67,13.98,22.98,68.9,14.12,-0.1399999999999988
1772139673.329369,624.7722086906433,23.12,67.7,13.98,22.98,68.94,14.13,-0.15000000000000036
1772139673.8746254,625.3174650669098,23.17,67.79,14.04,22.96,68.97,14.12,-0.08000000000000007
1772139674.4182613,625.8611009120941,23.1,67.85,14.0,22.96,69.05,14.13,-0.13000000000000078
1772139674.9602747,626.4031143188477,23.15,67.92,14.05,22.97,69.07,14.14,-0.08999999999999986
1772139675.503523,626.9463627338409,23.14,67.99,14.06,22.98,69.09,14.16,-0.09999999999999964
1772139676.0488667,627.4917063713074,23.17,68.05,14.1,22.97,69.11,14.15,-0.05000000000000071
1772139676.5903776,628.0332171916962,23.15,68.08,14.09,22.95,69.12,14.14,-0.05000000000000071
1772139677.1349475,628.5777871608734,23.14,68.13,14.09,23.01,69.18,14.2,-0.10999999999999943
1772139677.6790903,629.1219298839569,23.16,68.14,14.11,22.96,69.17,14.16,-0.05000000000000071
1772139678.2208123,629.6636519432068,23.14,68.19,14.1,22.97,69.23,14.18,-0.08000000000000007
1772139678.7639468,630.2067863941193,23.15,68.28,14.13,22.99,69.26,14.2,-0.06999999999999851
1772139679.3089037,630.7517433166504,23.16,68.34,14.15,22.98,69.29,14.2,-0.049999999999998934
1772139679.850158,631.2929975986481,23.15,68.37,14.14,22.97,69.28,14.19,-0.049999999999998934
1772139680.394226,631.8370656967163,23.14,68.39,14.14,22.96,69.33,14.19,-0.049999999999998934
1772139680.9382813,632.3811209201813,23.1,68.43,14.12,22.97,69.35,14.2,-0.08000000000000007
1772139681.480391,632.9232306480408,23.12,68.48,14.14,23.0,69.36,14.23,-0.08999999999999986
1772139682.0246978,633.4675374031067,23.12,68.54,14.16,22.97,69.39,14.21,-0.05000000000000071
1772139682.5695314,634.0123710632324,23.16,68.63,14.21,22.99,69.43,14.23,-0.019999999999999574
1772139683.1105044,634.5533440113068,23.14,68.66,14.2,22.95,69.49,14.22,-0.02000000000000135
1772139683.654757,635.0975966453552,23.14,68.7,14.2,22.99,69.5,14.25,-0.05000000000000071
1772139684.1984692,635.6413087844849,23.12,68.75,14.2,22.95,69.49,14.22,-0.02000000000000135
1772139684.7401292,636.1829688549042,23.14,68.77,14.22,22.99,69.51,14.26,-0.03999999999999915
1772139685.284516,636.7273557186127,23.1,68.76,14.18,22.99,69.59,14.27,-0.08999999999999986
1772139685.828894,637.2717335224152,23.12,68.82,14.22,22.97,69.56,14.25,-0.02999999999999936
1772139686.370841,637.8136806488037,23.14,68.82,14.23,22.98,69.56,14.26,-0.02999999999999936
1772139686.9147294,638.3575689792633,23.1,68.86,14.21,22.99,69.57,14.26,-0.049999999999998934
1772139687.455809,638.8986487388611,23.17,68.88,14.27,22.99,69.61,14.28,-0.009999999999999787
1772139687.999957,639.4427967071533,23.15,68.94,14.26,22.97,69.62,14.26,0.0
1772139688.5450234,639.9878630638123,23.13,68.97,14.25,22.98,69.65,14.27,-0.019999999999999574
1772139689.086034,640.5288736820221,23.1,68.98,14.23,22.97,69.66,14.27,-0.03999999999999915
1772139689.630032,641.0728716850281,23.16,69.05,14.29,22.97,69.69,14.27,0.019999999999999574
1772139690.1750457,641.617885351181,23.11,69.06,14.25,22.97,69.69,14.28,-0.02999999999999936
1772139690.715866,642.1587057113647,23.15,69.09,14.3,22.97,69.7,14.27,0.030000000000001137
1772139691.2605894,642.7034289836884,23.13,69.11,14.28,23.0,69.74,14.3,-0.02000000000000135
1772139691.805204,643.2480435371399,23.15,69.14,14.31,22.97,69.74,14.28,0.030000000000001137
1772139692.3463137,643.7891533374786,23.15,69.16,14.31,22.98,69.76,14.29,0.02000000000000135
1772139692.8905993,644.333438873291,23.15,69.17,14.31,22.99,69.77,14.3,0.009999999999999787
1772139693.4343946,644.8772342205048,23.14,69.16,14.3,22.97,69.76,14.29,0.010000000000001563
1772139693.9761558,645.4189953804016,23.12,69.17,14.28,22.96,69.77,14.28,0.0
1772139694.520879,645.9637186527252,23.11,69.19,14.28,22.97,69.83,14.3,-0.02000000000000135
1772139695.065345,646.508184671402,23.12,69.24,14.31,22.99,69.82,14.31,0.0
1772139695.6068037,647.049643278122,23.12,69.28,14.31,22.98,69.85,14.31,0.0
1772139696.1507661,647.5936057567596,23.12,69.31,14.32,22.98,69.87,14.32,0.0
1772139696.6956573,648.1384968757629,23.14,69.37,14.35,22.97,69.9,14.32,0.02999999999999936
1772139697.236003,648.6788425445557,23.12,69.39,14.33,22.99,69.91,14.33,0.0
1772139697.7810998,649.2239394187927,23.14,69.4,14.35,22.96,69.92,14.31,0.03999999999999915
1772139698.3252246,649.7680642604828,23.13,69.42,14.35,22.96,69.93,14.31,0.03999999999999915
1772139698.8692691,650.3121087551117,23.19,69.44,14.4,22.97,69.95,14.32,0.08000000000000007
1772139699.4107084,650.8535480499268,23.14,69.41,14.36,22.98,69.96,14.34,0.019999999999999574
1772139699.9552512,651.398090839386,23.12,69.42,14.34,22.97,69.95,14.32,0.019999999999999574
1772139700.4994574,651.9422969818115,23.17,69.42,14.38,22.96,69.94,14.32,0.0600000000000005
1772139701.0410404,652.4838800430298,23.16,69.44,14.37,22.99,69.97,14.34,0.02999999999999936
1772139701.585799,653.0286386013031,23.16,69.46,14.38,22.99,69.96,14.35,0.030000000000001137
1772139702.1303544,653.573194026947,23.12,69.44,14.34,22.97,69.98,14.34,0.0
1772139702.6713068,654.1141464710236,23.15,69.45,14.37,22.97,69.97,14.33,0.03999999999999915
1772139703.215663,654.6585025787354,23.07,69.42,14.3,22.98,69.98,14.34,-0.03999999999999915
1772139703.7596283,655.202467918396,23.12,69.42,14.34,22.99,69.96,14.35,-0.009999999999999787
1772139704.3020813,655.7449209690094,23.15,69.42,14.36,22.97,69.96,14.33,0.02999999999999936
1772139704.8458972,656.288736820221,23.14,69.4,14.35,22.97,69.95,14.32,0.02999999999999936
1772139705.3898945,656.8327341079712,23.1,69.41,14.32,22.97,69.94,14.33,-0.009999999999999787
1772139705.9313593,657.3741989135742,23.1,69.46,14.33,22.98,69.98,14.34,-0.009999999999999787
1772139706.4754002,657.9182398319244,23.12,69.49,14.35,22.99,69.99,14.35,0.0
1772139707.020032,658.4628715515137,23.13,69.53,14.37,23.0,70.04,14.37,0.0
1772139707.5619879,659.0048274993896,23.14,69.54,14.38,22.97,70.03,14.35,0.030000000000001137
1772139708.105832,659.5486717224121,23.12,69.55,14.37,22.97,70.05,14.35,0.019999999999999574
1772139708.6505408,660.0933804512024,23.14,69.58,14.39,22.97,70.03,14.34,0.05000000000000071
1772139709.192302,660.6351416110992,23.13,69.59,14.38,22.96,70.07,14.34,0.040000000000000924
1772139709.7365324,661.1793720722198,23.11,69.61,14.37,22.96,70.09,14.34,0.02999999999999936
1772139710.2811906,661.7240302562714,23.12,69.63,14.39,22.97,70.11,14.36,0.030000000000001137
1772139710.825562,662.2684016227722,23.14,69.67,14.4,22.96,70.12,14.35,0.05000000000000071
1772139711.367226,662.8100655078888,23.16,69.69,14.43,22.96,70.12,14.35,0.08000000000000007
1772139711.911207,663.3540465831757,23.13,69.7,14.41,22.97,70.14,14.37,0.040000000000000924
1772139712.4554052,663.8982448577881,23.15,69.73,14.42,22.96,70.16,14.36,0.0600000000000005
1772139712.997186,664.4400255680084,23.14,69.76,14.42,22.95,70.16,14.35,0.07000000000000028
1772139713.541861,664.984700679779,23.13,69.8,14.42,22.98,70.2,14.38,0.03999999999999915
1772139714.0856702,665.5285098552704,23.11,69.82,14.41,22.97,70.22,14.38,0.02999999999999936
1772139714.6302156,666.073055267334,23.12,69.87,14.44,22.97,70.24,14.38,0.05999999999999872
1772139715.1721272,666.6149668693542,23.12,69.88,14.43,22.98,70.28,14.4,0.02999999999999936
1772139715.7164626,667.1593022346497,23.12,69.91,14.44,22.96,70.26,14.38,0.05999999999999872
1772139716.2607493,667.7035889625549,23.14,69.93,14.46,22.96,70.28,14.39,0.07000000000000028
1772139716.8022156,668.2450551986694,23.12,69.94,14.45,22.96,70.29,14.39,0.05999999999999872
1772139717.3460734,668.7889130115509,23.17,69.96,14.49,22.95,70.3,14.38,0.10999999999999943
1772139717.889937,669.3327765464783,23.13,69.96,14.46,22.97,70.31,14.4,0.0600000000000005
1772139718.4351373,669.8779768943787,23.12,69.96,14.45,22.95,70.3,14.38,0.06999999999999851
1772139718.9761162,670.4189558029175,23.13,69.97,14.46,22.95,70.33,14.39,0.07000000000000028
1772139719.5210254,670.9638650417328,23.12,69.98,14.46,22.97,70.3,14.4,0.0600000000000005
1772139720.0659816,671.5088212490082,23.14,69.99,14.48,22.97,70.32,14.4,0.08000000000000007
