unix_time_s,elapsed_s,t1,rh1,ah1,t2,rh2,ah2,diff
1772212338.9012187,0.004550457000732422,22.9,58.49,11.93,22.74,63.26,12.78,-0.8499999999999996
1772212339.0723026,0.17563438415527344,22.94,58.49,11.96,22.72,63.28,12.78,-0.8199999999999985
1772212339.6169317,0.7202634811401367,22.89,58.46,11.92,22.75,63.25,12.79,-0.8699999999999992
1772212340.1580298,1.2613615989685059,22.91,58.49,11.94,22.72,63.29,12.78,-0.8399999999999999
1772212340.7028139,1.8061456680297852,22.94,58.49,11.96,22.75,63.24,12.79,-0.8299999999999983
1772212341.2470512,2.3503830432891846,22.9,58.46,11.93,22.71,63.27,12.76,-0.8300000000000001
1772212341.7916644,2.894996166229248,22.88,58.47,11.91,22.73,63.25,12.78,-0.8699999999999992
1772212342.3345165,3.4378483295440674,22.89,58.46,11.92,22.74,63.23,12.78,-0.8599999999999994
1772212342.878507,3.9818387031555176,22.89,58.44,11.91,22.75,63.2,12.78,-0.8699999999999992
1772212343.423012,4.526343822479248,22.91,58.43,11.92,22.75,63.2,12.78,-0.8599999999999994
1772212343.966557,5.0698888301849365,22.89,58.41,11.91,22.71,63.15,12.74,-0.8300000000000001
1772212344.5082405,5.611572265625,22.87,58.39,11.89,22.75,63.12,12.77,-0.879999999999999
1772212345.0522692,6.1556010246276855,22.92,58.4,11.93,22.75,63.12,12.76,-0.8300000000000001
1772212345.5974047,6.7007365226745605,22.94,58.41,11.94,22.72,63.07,12.73,-0.7900000000000009
1772212346.1380548,7.241386651992798,22.91,58.39,11.91,22.75,63.1,12.76,-0.8499999999999996
1772212346.6825387,7.785870552062988,22.88,58.38,11.9,22.68,63.06,12.7,-0.7999999999999989
1772212347.227267,8.330598831176758,22.87,58.38,11.89,22.72,63.04,12.73,-0.8399999999999999
1772212347.7724197,8.875751495361328,22.92,58.35,11.92,22.71,63.05,12.72,-0.8000000000000007
1772212348.3134892,9.416821002960205,22.87,58.33,11.88,22.71,63.03,12.71,-0.8300000000000001
1772212348.8589444,9.962276220321655,22.89,58.34,11.89,22.7,63.04,12.71,-0.8200000000000003
1772212349.4030578,10.506389617919922,22.92,58.36,11.92,22.72,63.03,12.72,-0.8000000000000007
1772212349.947281,11.050612688064575,22.87,58.36,11.88,22.73,63.03,12.73,-0.8499999999999996
1772212350.4884868,11.591818571090698,22.86,58.36,11.88,22.75,63.06,12.75,-0.8699999999999992
1772212351.033531,12.136862754821777,22.87,58.37,11.89,22.69,63.05,12.71,-0.8200000000000003
1772212351.5774324,12.680764198303223,22.88,58.35,11.89,22.71,63.03,12.71,-0.8200000000000003
1772212352.1181097,13.221441507339478,22.85,58.35,11.87,22.69,63.03,12.7,-0.8300000000000001
1772212352.6636326,13.766964435577393,22.86,58.35,11.88,22.71,63.08,12.73,-0.8499999999999996
1772212353.207976,14.311307907104492,22.85,58.35,11.87,22.67,63.03,12.69,-0.8200000000000003
1772212353.7523065,14.855638265609741,22.85,58.36,11.87,22.71,63.06,12.72,-0.8500000000000014
1772212354.294302,15.397633790969849,22.87,58.35,11.88,22.69,63.05,12.71,-0.8300000000000001
1772212354.8382795,15.941611289978027,22.86,58.35,11.87,22.71,63.04,12.72,-0.8500000000000014
1772212355.3833554,16.486687183380127,22.88,58.36,11.89,22.71,63.05,12.72,-0.8300000000000001
1772212355.927252,17.03058385848999,22.87,58.35,11.88,22.71,63.03,12.71,-0.8300000000000001
1772212356.4682608,17.571592569351196,22.85,58.33,11.86,22.68,63.03,12.69,-0.8300000000000001
1772212357.0129535,18.11628532409668,22.88,58.36,11.89,22.74,63.04,12.74,-0.8499999999999996
1772212357.5570073,18.66033911705017,22.89,58.36,11.9,22.72,63.05,12.73,-0.8300000000000001
1772212358.0994642,19.20279598236084,22.85,58.34,11.86,22.71,63.05,12.72,-0.8600000000000012
1772212358.6436298,19.74696159362793,22.87,58.34,11.88,22.73,63.04,12.73,-0.8499999999999996
1772212359.1885061,20.29183793067932,22.88,58.33,11.88,22.7,63.0,12.71,-0.8300000000000001
1772212359.7327995,20.83613133430481,22.84,58.3,11.85,22.69,62.98,12.7,-0.8499999999999996
1772212360.2734256,21.376757383346558,22.85,58.29,11.85,22.68,62.97,12.68,-0.8300000000000001
1772212360.8178182,21.921149969100952,22.84,58.28,11.84,22.68,62.96,12.68,-0.8399999999999999
1772212361.3624787,22.465810537338257,22.86,58.28,11.86,22.66,62.96,12.67,-0.8100000000000005
1772212361.9076817,23.011013507843018,22.85,58.24,11.84,22.7,62.93,12.69,-0.8499999999999996
1772212362.4494257,23.552757501602173,22.83,58.26,11.84,22.68,62.93,12.67,-0.8300000000000001
1772212362.9925961,24.095927953720093,22.84,58.25,11.84,22.71,62.93,12.7,-0.8599999999999994
1772212363.5383723,24.641704082489014,22.83,58.23,11.83,22.71,62.92,12.69,-0.8599999999999994
1772212364.0793176,25.18264937400818,22.85,58.25,11.85,22.7,62.92,12.69,-0.8399999999999999
1772212364.6254113,25.728743076324463,22.83,58.27,11.84,22.67,62.91,12.66,-0.8200000000000003
1772212365.1680417,26.271373510360718,22.83,58.25,11.83,22.69,62.91,12.68,-0.8499999999999996
1772212365.71219,26.815521717071533,22.87,58.25,11.86,22.69,62.94,12.69,-0.8300000000000001
1772212366.255708,27.359039783477783,22.84,58.24,11.84,22.66,62.93,12.66,-0.8200000000000003
1772212366.7990773,27.902409076690674,22.83,58.26,11.84,22.72,62.92,12.7,-0.8599999999999994
1772212367.342867,28.44619870185852,22.85,58.25,11.85,22.69,62.91,12.68,-0.8300000000000001
1772212367.8866706,28.990002393722534,22.81,58.28,11.82,22.67,62.91,12.66,-0.8399999999999999
1772212368.4279583,29.53129005432129,22.84,58.29,11.85,22.65,62.94,12.66,-0.8100000000000005
1772212368.9736984,30.077030181884766,22.83,58.29,11.84,22.69,62.96,12.69,-0.8499999999999996
1772212369.5178814,30.62121319770813,22.83,58.27,11.84,22.69,62.94,12.68,-0.8399999999999999
1772212370.058905,31.16223669052124,22.82,58.27,11.83,22.68,62.97,12.68,-0.8499999999999996
1772212370.6039493,31.7072811126709,22.82,58.3,11.84,22.68,62.96,12.68,-0.8399999999999999
1772212371.1474411,32.25077295303345,22.8,58.28,11.82,22.7,62.96,12.69,-0.8699999999999992
1772212371.6929839,32.79631567001343,22.84,58.27,11.84,22.68,62.96,12.68,-0.8399999999999999
1772212372.234387,33.33771872520447,22.83,58.28,11.84,22.65,62.98,12.67,-0.8300000000000001
1772212372.778516,33.881847858428955,22.81,58.31,11.83,22.69,62.99,12.69,-0.8599999999999994
1772212373.323181,34.426512718200684,22.83,58.33,11.85,22.69,62.97,12.69,-0.8399999999999999
1772212373.8675182,34.97084999084473,22.83,58.32,11.85,22.69,62.95,12.69,-0.8399999999999999
1772212374.408096,35.511427879333496,22.83,58.31,11.85,22.71,62.96,12.7,-0.8499999999999996
1772212374.9526494,36.055981159210205,22.84,58.32,11.85,22.65,62.97,12.66,-0.8100000000000005
1772212375.4973013,36.60063314437866,22.81,58.3,11.83,22.69,62.95,12.69,-0.8599999999999994
1772212376.0399294,37.143261194229126,22.81,58.29,11.83,22.67,62.93,12.67,-0.8399999999999999
1772212376.583099,37.68643069267273,22.82,58.29,11.84,22.69,62.95,12.69,-0.8499999999999996
1772212377.128461,38.23179268836975,22.82,58.29,11.83,22.68,62.95,12.68,-0.8499999999999996
1772212377.6721482,38.77548003196716,22.81,58.27,11.82,22.69,62.93,12.68,-0.8599999999999994
1772212378.214276,39.31760787963867,22.82,58.29,11.84,22.69,62.95,12.69,-0.8499999999999996
1772212378.7581463,39.861478090286255,22.84,58.26,11.84,22.71,62.96,12.7,-0.8599999999999994
1772212379.303484,40.40681576728821,22.81,58.27,11.83,22.68,62.94,12.67,-0.8399999999999999
1772212379.8470433,40.95037508010864,22.8,58.26,11.82,22.69,62.96,12.69,-0.8699999999999992
1772212380.389289,41.49262070655823,22.82,58.29,11.84,22.68,62.96,12.68,-0.8399999999999999
1772212380.9332974,42.03662919998169,22.83,58.27,11.84,22.65,62.95,12.65,-0.8100000000000005
1772212381.478381,42.58171272277832,22.82,58.27,11.83,22.68,62.95,12.68,-0.8499999999999996
1772212382.0198858,43.12321758270264,22.81,58.26,11.82,22.66,62.98,12.67,-0.8499999999999996
1772212382.56368,43.667011737823486,22.83,58.26,11.84,22.68,62.97,12.68,-0.8399999999999999
1772212383.107583,44.210914850234985,22.82,58.28,11.83,22.66,62.96,12.67,-0.8399999999999999
1772212383.6520524,44.75538420677185,22.81,58.28,11.83,22.68,62.97,12.68,-0.8499999999999996
1772212384.1937532,45.29708504676819,22.84,58.28,11.85,22.67,62.98,12.68,-0.8300000000000001
1772212384.7380733,45.841405153274536,22.8,58.3,11.83,22.67,62.99,12.68,-0.8499999999999996
1772212385.2823853,46.385717153549194,22.81,58.27,11.83,22.67,63.01,12.68,-0.8499999999999996
1772212385.827717,46.93104887008667,22.81,58.27,11.82,22.66,62.98,12.67,-0.8499999999999996
1772212386.369463,47.47279477119446,22.8,58.29,11.82,22.63,62.95,12.64,-0.8200000000000003
1772212386.913177,48.01650881767273,22.81,58.29,11.83,22.64,62.93,12.65,-0.8200000000000003
1772212387.457576,48.56090784072876,22.81,58.28,11.82,22.68,62.95,12.68,-0.8599999999999994
1772212387.9984872,49.10181903839111,22.84,58.26,11.84,22.66,62.93,12.66,-0.8200000000000003
1772212388.5429783,49.64631009101868,22.81,58.23,11.82,22.66,62.92,12.66,-0.8399999999999999
1772212389.088543,50.191874742507935,22.82,58.24,11.83,22.68,62.92,12.67,-0.8399999999999999
1772212389.6322763,50.73560810089111,22.81,58.25,11.82,22.65,62.92,12.65,-0.8300000000000001
1772212390.1739106,51.27724242210388,22.82,58.27,11.83,22.65,62.91,12.65,-0.8200000000000003
1772212390.7178664,51.82119822502136,22.83,58.25,11.83,22.64,62.9,12.64,-0.8100000000000005
1772212391.2632954,52.36662721633911,22.81,58.24,11.82,22.69,62.93,12.68,-0.8599999999999994
1772212391.8070261,52.91035795211792,22.8,58.28,11.82,22.68,62.91,12.67,-0.8499999999999996
1772212392.3481321,53.4514639377594,22.8,58.27,11.82,22.65,62.92,12.66,-0.8399999999999999
1772212392.892789,53.99612069129944,22.81,58.27,11.83,22.66,62.92,12.66,-0.8300000000000001
1772212393.43746,54.540791749954224,22.83,58.25,11.84,22.64,62.93,12.65,-0.8100000000000005
1772212393.9802344,55.083566188812256,22.8,58.3,11.83,22.65,62.94,12.65,-0.8200000000000003
1772212394.525283,55.62861490249634,22.81,58.28,11.83,22.65,62.94,12.66,-0.8300000000000001
1772212395.067787,56.17111873626709,22.8,58.27,11.82,22.64,62.94,12.65,-0.8300000000000001
1772212395.6129358,56.716267585754395,22.81,58.31,11.84,22.62,62.92,12.63,-0.7900000000000009
1772212396.1533537,57.25668549537659,22.81,58.28,11.83,22.64,62.95,12.65,-0.8200000000000003
1772212396.6979733,57.801305055618286,22.8,58.29,11.82,22.68,62.93,12.68,-0.8599999999999994
1772212397.2428424,58.346174240112305,22.8,58.3,11.82,22.65,62.93,12.65,-0.8300000000000001
1772212397.787897,58.891228914260864,22.82,58.3,11.84,22.65,62.94,12.66,-0.8200000000000003
1772212398.3288121,59.43214392662048,22.8,58.3,11.82,22.64,62.95,12.65,-0.8300000000000001
1772212398.872872,59.97620391845703,22.81,58.3,11.83,22.66,62.96,12.67,-0.8399999999999999
1772212399.4185362,60.521867990493774,22.81,58.32,11.83,22.65,62.96,12.66,-0.8300000000000001
1772212399.9598827,61.06321454048157,22.8,58.29,11.82,22.63,62.96,12.65,-0.8300000000000001
